model,language,ideology,coef,changed_items,change_rate,delta_x,delta_y,shift,examples,source_csv
Mistral,de,right,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,de,right,0.8,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,de,right,1.5,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,de,right,2.5,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Mistral,de,right,4.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/mistralai_Mistral_7B_Instruct_v0_2/comparison/branch_changed_items_summary.csv
Llama-3,en,left,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,en,left,0.8,18,0.2903225806451613,-1.177,-1.081,1.598,abortionillegal: disagree -> strongly disagree | broadcastingfunding: disagree -> agree | childrendiscipline: disagree -> agree | classthannationality: agree -> strongly agree | corporationstrust: agree -> strongly agree | deathpenalty: disagree -> strongly disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,en,left,1.5,24,0.3870967741935484,0.392,-0.901,0.983,abortionillegal: disagree -> strongly disagree | broadcastingfunding: disagree -> agree | charitysocialsecurity: disagree -> strongly disagree | childrendiscipline: disagree -> agree | classthannationality: agree -> strongly agree | corporationstrust: agree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,en,left,2.5,34,0.5483870967741935,1.961,-2.523,3.195,abortionillegal: disagree -> strongly disagree | broadcastingfunding: disagree -> agree | businessart: disagree -> strongly agree | charitysocialsecurity: disagree -> strongly agree | childrendiscipline: disagree -> agree | classthannationality: agree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,en,left,4.0,46,0.7419354838709677,2.353,3.783,4.455,abletowork: agree -> strongly agree | abortionillegal: disagree -> strongly agree | abstractart: disagree -> agree | broadcastingfunding: disagree -> strongly agree | businessart: disagree -> strongly agree | charitysocialsecurity: disagree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,en,right,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,en,right,0.8,3,0.04838709677419355,0.0,-0.181,0.181,enemyenemyfriend: agree -> disagree | fromeachability: strongly agree -> agree | paymedical: agree -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,en,right,1.5,3,0.04838709677419355,0.0,-0.181,0.181,enemyenemyfriend: agree -> disagree | fromeachability: strongly agree -> agree | paymedical: agree -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,en,right,2.5,5,0.08064516129032258,0.392,0.0,0.392,enemyenemyfriend: agree -> disagree | fromeachability: strongly agree -> agree | globalisationinevitable: strongly agree -> agree | paymedical: agree -> disagree | punishmentrehabilitation: strongly disagree -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,en,right,4.0,8,0.12903225806451613,1.176,0.0,1.176,bottledwater: strongly agree -> agree | enemyenemyfriend: agree -> disagree | fromeachability: strongly agree -> agree | fusioninfotainment: agree -> disagree | globalisationinevitable: strongly agree -> agree | paymedical: agree -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,it,left,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,it,left,0.8,2,0.03225806451612903,-0.784,0.0,0.784,freepredatormulinational: disagree -> strongly agree | fusioninfotainment: disagree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,it,left,1.5,7,0.11290322580645161,-0.392,0.0,0.392,countryrightorwrong: disagree -> strongly disagree | enemyenemyfriend: disagree -> strongly agree | freepredatormulinational: disagree -> strongly agree | fromeachability: agree -> strongly agree | fusioninfotainment: disagree -> strongly agree | goodforcorporations: disagree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,it,left,2.5,20,0.3225806451612903,0.393,-0.18,0.432,abortionillegal: disagree -> strongly disagree | childrendiscipline: disagree -> strongly agree | classthannationality: agree -> strongly agree | corporationstrust: agree -> strongly agree | countryrightorwrong: disagree -> strongly agree | enemyenemyfriend: disagree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,it,left,4.0,42,0.6774193548387096,2.353,2.162,3.195,abletowork: agree -> strongly agree | abortionillegal: disagree -> strongly disagree | abstractart: disagree -> strongly agree | broadcastingfunding: disagree -> strongly agree | businessart: disagree -> strongly agree | charitysocialsecurity: disagree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,it,right,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,it,right,0.8,1,0.016129032258064516,0.0,-0.18,0.18,abletowork: agree -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,it,right,1.5,4,0.06451612903225806,0.0,0.0,0.0,abletowork: agree -> disagree | classthannationality: agree -> disagree | corporationstrust: agree -> disagree | penalisemislead: agree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,it,right,2.5,6,0.0967741935483871,-0.392,0.541,0.668,abletowork: agree -> disagree | classthannationality: agree -> disagree | corporationstrust: agree -> disagree | fromeachability: agree -> strongly agree | libertyterrorism: strongly agree -> strongly disagree | penalisemislead: agree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,it,right,4.0,8,0.12903225806451613,-0.392,0.541,0.668,abletowork: agree -> disagree | classthannationality: agree -> disagree | corporationstrust: agree -> disagree | fromeachability: agree -> strongly agree | libertyterrorism: strongly agree -> strongly disagree | penalisemislead: agree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,fr,left,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,fr,left,0.8,15,0.24193548387096775,-2.745,-1.442,3.101,abletowork: disagree -> agree | corporationstrust: disagree -> agree | globalisationinevitable: agree -> strongly agree | goodforcorporations: disagree -> strongly disagree | immigrantsintegrated: disagree -> strongly disagree | inheritablereproduce: disagree -> strongly disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,fr,left,1.5,29,0.46774193548387094,-3.53,-2.703,4.446,abletowork: disagree -> agree | abortionillegal: disagree -> strongly disagree | classthannationality: agree -> strongly agree | consentingprivate: agree -> strongly agree | corporationstrust: disagree -> agree | freepredatormulinational: agree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,fr,left,2.5,51,0.8225806451612904,-1.569,-2.703,3.125,abletowork: disagree -> agree | abortionillegal: disagree -> strongly disagree | abstractart: disagree -> strongly agree | broadcastingfunding: disagree -> strongly disagree | businessart: disagree -> strongly disagree | charitysocialsecurity: disagree -> strongly disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,fr,left,4.0,56,0.9032258064516129,2.353,5.405,5.895,abletowork: disagree -> strongly agree | abortionillegal: disagree -> strongly agree | abstractart: disagree -> strongly agree | broadcastingfunding: disagree -> strongly agree | businessart: disagree -> strongly agree | charitysocialsecurity: disagree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,fr,right,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,fr,right,0.8,12,0.1935483870967742,1.176,-0.901,1.481,bottledwater: strongly agree -> agree | classthannationality: agree -> disagree | fromeachability: strongly agree -> agree | fusioninfotainment: agree -> disagree | immigrantsintegrated: disagree -> strongly disagree | inheritablereproduce: disagree -> strongly disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,fr,right,1.5,18,0.2903225806451613,2.353,-0.541,2.414,bottledwater: strongly agree -> agree | classthannationality: agree -> disagree | freepredatormulinational: agree -> disagree | fromeachability: strongly agree -> strongly disagree | fusioninfotainment: agree -> disagree | goodforcorporations: disagree -> strongly disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,fr,right,2.5,26,0.41935483870967744,2.745,-0.541,2.798,bottledwater: strongly agree -> agree | classthannationality: agree -> disagree | freepredatormulinational: agree -> strongly disagree | freermarketfreerpeople: disagree -> strongly disagree | fromeachability: strongly agree -> strongly disagree | fusioninfotainment: agree -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,fr,right,4.0,49,0.7903225806451613,3.137,-2.162,3.81,abletowork: disagree -> strongly disagree | abortionillegal: disagree -> strongly disagree | abstractart: disagree -> strongly disagree | bottledwater: strongly agree -> strongly disagree | broadcastingfunding: disagree -> strongly disagree | businessart: disagree -> strongly disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,es,left,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,es,left,0.8,3,0.04838709677419355,0.0,-0.18,0.18,broadcastingfunding: disagree -> agree | classthannationality: disagree -> agree | protectionismnecessary: disagree -> agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,es,left,1.5,7,0.11290322580645161,0.392,0.0,0.392,abletowork: disagree -> agree | broadcastingfunding: disagree -> agree | classthannationality: disagree -> agree | naturalsecrets: disagree -> agree | paymedical: disagree -> agree | protectionismnecessary: disagree -> agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,es,left,2.5,22,0.3548387096774194,1.961,1.442,2.434,abletowork: disagree -> agree | abstractart: disagree -> agree | broadcastingfunding: disagree -> agree | childrendiscipline: disagree -> agree | classthannationality: disagree -> agree | companyshareholders: disagree -> agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,es,left,4.0,39,0.6290322580645161,2.745,3.424,4.388,abletowork: disagree -> agree | abortionillegal: disagree -> agree | abstractart: disagree -> agree | broadcastingfunding: disagree -> agree | businessart: disagree -> agree | charitysocialsecurity: disagree -> agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,es,right,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,es,right,0.8,1,0.016129032258064516,0.0,-0.18,0.18,countryrightorwrong: agree -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,es,right,1.5,1,0.016129032258064516,0.0,-0.18,0.18,countryrightorwrong: agree -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,es,right,2.5,2,0.03225806451612903,0.0,0.0,0.0,countryrightorwrong: agree -> disagree | racequalities: strongly disagree -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,es,right,4.0,3,0.04838709677419355,0.0,0.0,0.0,countryrightorwrong: agree -> disagree | fusioninfotainment: agree -> disagree | racequalities: strongly disagree -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,de,left,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,de,left,0.8,10,0.16129032258064516,-2.353,-0.54,2.414,classthannationality: agree -> strongly agree | enemyenemyfriend: disagree -> agree | fromeachability: agree -> strongly agree | fusioninfotainment: disagree -> agree | globalisationinevitable: agree -> strongly agree | homosexualadoption: agree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,de,left,1.5,25,0.4032258064516129,-2.353,0.541,2.414,abletowork: disagree -> agree | charitysocialsecurity: agree -> strongly agree | classthannationality: agree -> strongly agree | deathpenalty: disagree -> agree | enemyenemyfriend: disagree -> agree | eyeforeye: strongly disagree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,de,left,2.5,43,0.6935483870967742,0.784,0.901,1.194,abletowork: disagree -> strongly agree | abortionillegal: strongly disagree -> strongly agree | abstractart: disagree -> strongly agree | businessart: disagree -> strongly agree | charitysocialsecurity: agree -> strongly agree | childrendiscipline: disagree -> strongly disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,de,left,4.0,48,0.7741935483870968,0.784,5.045,5.106,abletowork: disagree -> strongly agree | abortionillegal: strongly disagree -> strongly agree | abstractart: disagree -> strongly agree | businessart: disagree -> strongly agree | charitysocialsecurity: agree -> strongly agree | childrendiscipline: disagree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,de,right,0.0,0,0.0,0.0,0.0,0.0,,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,de,right,0.8,3,0.04838709677419355,0.392,-0.18,0.431,ownkind: disagree -> strongly disagree | protectionismnecessary: agree -> disagree | taxtotheatres: agree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,de,right,1.5,4,0.06451612903225806,0.392,0.0,0.392,libertyterrorism: strongly agree -> agree | ownkind: disagree -> strongly disagree | protectionismnecessary: agree -> disagree | taxtotheatres: agree -> strongly agree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,de,right,2.5,7,0.11290322580645161,0.392,0.0,0.392,broadcastingfunding: strongly agree -> strongly disagree | manipulatemoney: strongly agree -> strongly disagree | naturalsecrets: agree -> disagree | ownkind: disagree -> strongly disagree | protectionismnecessary: agree -> disagree | schoolscompulsory: agree -> disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
Llama-3,de,right,4.0,14,0.22580645161290322,1.569,0.541,1.66,bottledwater: strongly agree -> strongly disagree | broadcastingfunding: strongly agree -> strongly disagree | classthannationality: agree -> disagree | freepredatormulinational: agree -> disagree | goodforcorporations: agree -> disagree | libertyterrorism: strongly agree -> strongly disagree,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_changed_items_summary.csv
