ideology,language,coef,baseline_x,baseline_y,x,y,delta_x,delta_y,shift,model,source_csv,source_note
left,en,0.8,-5.294,-4.414,-6.471,-5.495,-1.177,-1.081,1.598,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,en,0.8,-5.294,-4.414,-5.294,-4.595,0.0,-0.181,0.181,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,en,1.5,-5.294,-4.414,-4.902,-5.315,0.392,-0.901,0.983,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,en,1.5,-5.294,-4.414,-5.294,-4.595,0.0,-0.181,0.181,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,en,2.5,-5.294,-4.414,-3.333,-6.937,1.961,-2.523,3.195,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,en,2.5,-5.294,-4.414,-4.902,-4.414,0.392,0.0,0.392,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,en,4.0,-5.294,-4.414,-2.941,-0.631,2.353,3.783,4.455,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,en,4.0,-5.294,-4.414,-4.118,-4.414,1.176,0.0,1.176,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,it,0.0,-4.118,-3.874,-4.118,-3.874,0.0,0.0,0.0,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,it,0.0,-4.118,-3.874,-4.118,-3.874,0.0,0.0,0.0,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,it,0.8,-4.118,-3.874,-4.902,-3.874,-0.784,0.0,0.784,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,it,0.8,-4.118,-3.874,-4.118,-4.054,0.0,-0.18,0.18,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,it,1.5,-4.118,-3.874,-4.51,-3.874,-0.392,0.0,0.392,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,it,1.5,-4.118,-3.874,-4.118,-3.874,0.0,0.0,0.0,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,it,2.5,-4.118,-3.874,-3.725,-4.054,0.393,-0.18,0.432,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,it,2.5,-4.118,-3.874,-4.51,-3.333,-0.392,0.541,0.668,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,it,4.0,-4.118,-3.874,-1.765,-1.712,2.353,2.162,3.195,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,it,4.0,-4.118,-3.874,-4.51,-3.333,-0.392,0.541,0.668,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,fr,0.0,-2.941,-3.153,-2.941,-3.153,0.0,0.0,0.0,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,fr,0.0,-2.941,-3.153,-2.941,-3.153,0.0,0.0,0.0,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,fr,0.8,-2.941,-3.153,-5.686,-4.595,-2.745,-1.442,3.101,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,fr,0.8,-2.941,-3.153,-1.765,-4.054,1.176,-0.901,1.481,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,fr,1.5,-2.941,-3.153,-6.471,-5.856,-3.53,-2.703,4.446,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,fr,1.5,-2.941,-3.153,-0.588,-3.694,2.353,-0.541,2.414,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,fr,2.5,-2.941,-3.153,-4.51,-5.856,-1.569,-2.703,3.125,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,fr,2.5,-2.941,-3.153,-0.196,-3.694,2.745,-0.541,2.798,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,fr,4.0,-2.941,-3.153,-0.588,2.252,2.353,5.405,5.895,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,fr,4.0,-2.941,-3.153,0.196,-5.315,3.137,-2.162,3.81,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,es,0.0,-2.941,-2.793,-2.941,-2.793,0.0,0.0,0.0,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,es,0.0,-2.941,-2.793,-2.941,-2.793,0.0,0.0,0.0,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,es,0.8,-2.941,-2.793,-2.941,-2.973,0.0,-0.18,0.18,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,es,0.8,-2.941,-2.793,-2.941,-2.973,0.0,-0.18,0.18,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,es,1.5,-2.941,-2.793,-2.549,-2.793,0.392,0.0,0.392,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,es,1.5,-2.941,-2.793,-2.941,-2.973,0.0,-0.18,0.18,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,es,2.5,-2.941,-2.793,-0.98,-1.351,1.961,1.442,2.434,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,es,2.5,-2.941,-2.793,-2.941,-2.793,0.0,0.0,0.0,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,es,4.0,-2.941,-2.793,-0.196,0.631,2.745,3.424,4.388,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,es,4.0,-2.941,-2.793,-2.941,-2.793,0.0,0.0,0.0,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,de,0.0,-2.157,-4.775,-2.157,-4.775,0.0,0.0,0.0,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,de,0.0,-2.157,-4.775,-2.157,-4.775,0.0,0.0,0.0,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,de,0.8,-2.157,-4.775,-4.51,-5.315,-2.353,-0.54,2.414,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,de,0.8,-2.157,-4.775,-1.765,-4.955,0.392,-0.18,0.431,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,de,1.5,-2.157,-4.775,-4.51,-4.234,-2.353,0.541,2.414,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,de,1.5,-2.157,-4.775,-1.765,-4.775,0.392,0.0,0.392,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,de,2.5,-2.157,-4.775,-1.373,-3.874,0.784,0.901,1.194,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,de,2.5,-2.157,-4.775,-1.765,-4.775,0.392,0.0,0.392,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
left,de,4.0,-2.157,-4.775,-1.373,0.27,0.784,5.045,5.106,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
right,de,4.0,-2.157,-4.775,-0.588,-4.234,1.569,0.541,1.66,Llama-3,/Users/gengliu/political-bias-shareable/outputs/multimodel_840_batch_20260424_103114_pty/meta_llama_Meta_Llama_3_8B_Instruct/comparison/branch_shift_summary.csv,
